e, f, group, score, freq, n, avgDeadEnemies, avgAliveFriends, avgAlive
6,  0, g9, 4, 256, 11, 1.331386, 0.000000, 0.365450
6,  0, g9, 5, 75, 11, 0.468463, 0.000000, 0.102552
6,  0, g9, 6, 17, 11, 0.116361, 0.000000, 0.023272
6,  0, g9, 7, 2, 11, 0.106502, 0.000000, 0.017750
7,  0, dumb, 0, 414, 11, 0.000000, 0.000000, 0.000000
7,  0, dumb, 1, 951, 11, 0.511912, 0.000000, 0.189695
7,  0, dumb, 2, 378, 11, 1.187716, 0.000000, 0.812284
7,  0, dumb, 3, 173, 11, 1.952925, 0.000000, 0.801283
7,  0, dumb, 4, 45, 11, 2.060768, 0.000000, 0.650218
7,  0, dumb, 5, 19, 11, 0.810048, 0.000000, 0.170802
